sample_id,person_id,display_name,analysis_group,face_type,face_type_ko,sequence,source_path,source_sha256,source_width,source_height
jisoo_blackpink_01,jisoo_blackpink,지수,female,dog,강아지상,1,사진데이터/지수1.png,73de8bbacfba4c92e1558c37484a0e39702cdc2bbd583d9c9be99c6b9ef26cf3,622,684
jisoo_blackpink_02,jisoo_blackpink,지수,female,dog,강아지상,2,사진데이터/지수2.png,548f7d3ae2d2327df023509301ca983c18cd623bca132c86a2ef52edb45c1ffb,572,580
jisoo_blackpink_03,jisoo_blackpink,지수,female,dog,강아지상,3,사진데이터/지수3.png,8bf4a154b47362e70a8326f52878c3de349b56ecb9f93d84c5d1d5152ffe9ad7,602,550
park_bo_young_01,park_bo_young,박보영,female,dog,강아지상,1,사진데이터/박보영1.png,cccaf3a0dbb411675c856e4a2634720fdfc8fed3f7cb84ce2bb042e9cb9c9e66,512,574
park_bo_young_02,park_bo_young,박보영,female,dog,강아지상,2,사진데이터/박보영2.png,c6f6f71e97ff37697465288743b5787047d0ca07f3b8edb5714eabefc7e5a802,674,594
park_bo_young_03,park_bo_young,박보영,female,dog,강아지상,3,사진데이터/박보영3.png,676dd2aeda6e1a284bb1cebfe900b1673eae03e66d42bcfbf8f9167169900fe9,556,588
an_yu_jin_01,an_yu_jin,안유진,female,dog,강아지상,1,사진데이터/안유진1.png,43a1ff9e562db027429254b431266111e60f38454d73a60a740edcb081ccfef2,570,672
an_yu_jin_02,an_yu_jin,안유진,female,dog,강아지상,2,사진데이터/안유진2.png,318809b31d4bded4f148740389b71779d1016dab1fdfa385a135b0cc1eeccf8d,452,498
an_yu_jin_03,an_yu_jin,안유진,female,dog,강아지상,3,사진데이터/안유진3.png,b10e098fbec850b2c622b2b64c2eeb9d738a69f97d7b20fd9b01c1d54543ee1b,436,514
minji_newjeans_01,minji_newjeans,민지,female,dog,강아지상,1,사진데이터/민지1.png,851407be20a378ea205199e6243f2b8a95de1992bd31151ce97232ac36c0c766,348,346
minji_newjeans_02,minji_newjeans,민지,female,dog,강아지상,2,사진데이터/민지2.png,2a9c1a1463be28b7b3818f9529bb34ca972d5b903e0c6a8ada34b17b394ef1f6,460,494
minji_newjeans_03,minji_newjeans,민지,female,dog,강아지상,3,사진데이터/민지3.png,eda54d66e39716bb7baa3fbe0d9ecd40c23e36af2a14cf6cf8741f022a2cc05e,594,608
jin_bts_01,jin_bts,BTS 진,male,dog,강아지상,1,사진데이터/BTS진1.png,66b5789a4c027a0684807c38a4f9d50d5ac9913b7f1918db862755f1cc2fa141,450,528
jin_bts_02,jin_bts,BTS 진,male,dog,강아지상,2,사진데이터/BTS진2.png,e8800f988e99bd374926b0a509fa725f1e71bef6bf37a294f125e8fe4e1941ab,478,570
jin_bts_03,jin_bts,BTS 진,male,dog,강아지상,3,사진데이터/BTS진3.png,4a1cd277fedce000bb32c1d40d003e7d52926aedc9209237d3e96a4ee78a9bf5,590,656
yang_yo_seob_01,yang_yo_seob,양요섭,male,dog,강아지상,1,사진데이터/양요섭1.png,fffd163424f4c36c5448b699bca82f63894e0344ad01ca7f7e0311c1ce5cb1e1,690,592
yang_yo_seob_02,yang_yo_seob,양요섭,male,dog,강아지상,2,사진데이터/양요섭2.png,435f00212f4a3bcab3b667b391801be15fda27ad16c62be445c0e780bba0d1a5,558,578
yang_yo_seob_03,yang_yo_seob,양요섭,male,dog,강아지상,3,사진데이터/양요섭3.png,53f62825543024579e5f3e510ca5b8a3ee9c1f060c30e79f16eed689ac983009,528,644
park_bo_gum_01,park_bo_gum,박보검,male,dog,강아지상,1,사진데이터/박보검1.png,f0a09531d19af663078c792e073f7634b560c2d8cbf01299f41593f1f49ff0e1,650,788
park_bo_gum_02,park_bo_gum,박보검,male,dog,강아지상,2,사진데이터/박보검2.png,efedfc6e6a5d51182844444a080986b2e20e538663cfc05d91533516988773c3,518,628
park_bo_gum_03,park_bo_gum,박보검,male,dog,강아지상,3,사진데이터/박보검3.png,876da77bae89538399355b95c7e97b03178c0b7f231f12eeafc08486f14c4899,574,656
choi_woo_shik_01,choi_woo_shik,최우식,male,dog,강아지상,1,사진데이터/최우식1.png,47f3c031ed05d53e9581c570e5e28ed3907915e8f3c3559b2dc1e761fed0b671,562,572
choi_woo_shik_02,choi_woo_shik,최우식,male,dog,강아지상,2,사진데이터/최우식2.png,bdaba14f3d59f6a0eddbdcc7af23e2b1f7a1c37afe17e7df14c27edfde29d91d,530,614
choi_woo_shik_03,choi_woo_shik,최우식,male,dog,강아지상,3,사진데이터/최우식3.png,9d8597479ddcd2765dff63e1970ba982b9148fd81302287ab276c4d5dbed766d,602,560
haerin_newjeans_01,haerin_newjeans,해린,female,cat,고양이상,1,사진데이터/해린1.png,fa5d39fa3cbbc7eb0b0225d3b18991f22c421b6d2bbfa3567d343b58a5e85e5d,526,540
haerin_newjeans_02,haerin_newjeans,해린,female,cat,고양이상,2,사진데이터/해린2.png,c1378c9eb366f66eeaf43b8dc2110679ccf4c32ca0ebe86535b89e80b1d8a85c,528,610
haerin_newjeans_03,haerin_newjeans,해린,female,cat,고양이상,3,사진데이터/해린3.png,9679187f4954dd278259a743f0ea8b8ed1fdc3d62ec668fdd76e2ce1de55b5ab,546,674
jennie_blackpink_01,jennie_blackpink,제니,female,cat,고양이상,1,사진데이터/제니1.png,12e6e5484eb49de33d1e2dd2e42f0d2e89080d150a0c0952f5f8cace9aee461c,532,592
jennie_blackpink_02,jennie_blackpink,제니,female,cat,고양이상,2,사진데이터/제니2.png,9ed6ab23980facf35d2857690a391d90e25f9825666d0d3ec2c5da9381ac5980,580,590
jennie_blackpink_03,jennie_blackpink,제니,female,cat,고양이상,3,사진데이터/제니3.png,f07dac0592ede39ed76fc73ca6d6efe98f5742fbe169f115b5e3185b81fd4ce8,576,474
kyujin_nmixx_01,kyujin_nmixx,규진,female,cat,고양이상,1,사진데이터/규진1.png,af73e9d8febbdfa3043875d56c93e03032ab2ddc4ecc02b72446335b09123c59,530,548
kyujin_nmixx_02,kyujin_nmixx,규진,female,cat,고양이상,2,사진데이터/규진2.png,2e75485892baec923641c3dacd3ba45b8ba5d6b6145e7fe6fac06b1cc185c1d5,500,558
kyujin_nmixx_03,kyujin_nmixx,규진,female,cat,고양이상,3,사진데이터/규진3.png,7bd2c6c6775e27c016a468af093ab6f3352e92708bc2ab6a8f43c90d8d38a8ac,530,468
han_ye_seul_01,han_ye_seul,한예슬,female,cat,고양이상,1,사진데이터/한예슬1.png,76d9d669878a1a151ccc296761ddd087f2d3cc042505eb0ae2ef57cbdd1acbcb,556,544
han_ye_seul_02,han_ye_seul,한예슬,female,cat,고양이상,2,사진데이터/한예슬2.png,7b0c3a870d940966732fff904c9525afc146e3a8dcb294e3ca6cf02a26f4c929,624,648
han_ye_seul_03,han_ye_seul,한예슬,female,cat,고양이상,3,사진데이터/한예슬3.png,38cd940dce1b4d7b3ac504d1f395b35cb9a1b33aea91c200187edada3871c29d,540,584
jinyoung_b1a4_01,jinyoung_b1a4,진영,male,cat,고양이상,1,사진데이터/B1A4진영1.png,88ff89283140c0823cdee3a4ba4625ed8ae6314040b74ecce93c3b541a7f90a3,360,404
jinyoung_b1a4_02,jinyoung_b1a4,진영,male,cat,고양이상,2,사진데이터/B1A4진영2.png,6c55dabcfd61505444134800d144db57180c5fc77f8fb8939c1350c44292b487,340,376
jinyoung_b1a4_03,jinyoung_b1a4,진영,male,cat,고양이상,3,사진데이터/B1A4진영3.png,00c0d857195175817236103241697f49e40da54a5b9d6ead9735d0d0efc488a3,628,626
