sample_id,person_id,display_name,analysis_group,face_type,face_type_ko,sequence,source_path,source_sha256,source_width,source_height,processed_path,face_confidence,face_ratio,brightness_score,blur_score,roll_degrees,training_eligible,review_reason
jisoo_blackpink_01,jisoo_blackpink,지수,female,dog,강아지상,1,사진데이터/지수1.png,73de8bbacfba4c92e1558c37484a0e39702cdc2bbd583d9c9be99c6b9ef26cf3,622,684,processed/female/dog/jisoo_blackpink/jisoo_blackpink_01.jpg,0.93709,0.19883,0.4467,0.8764,-2.854,True,
jisoo_blackpink_02,jisoo_blackpink,지수,female,dog,강아지상,2,사진데이터/지수2.png,548f7d3ae2d2327df023509301ca983c18cd623bca132c86a2ef52edb45c1ffb,572,580,processed/female/dog/jisoo_blackpink/jisoo_blackpink_02.jpg,0.94333,0.13317,0.4446,0.8512,-5.306,True,
jisoo_blackpink_03,jisoo_blackpink,지수,female,dog,강아지상,3,사진데이터/지수3.png,8bf4a154b47362e70a8326f52878c3de349b56ecb9f93d84c5d1d5152ffe9ad7,602,550,processed/female/dog/jisoo_blackpink/jisoo_blackpink_03.jpg,0.94422,0.14422,0.5441,0.6623,7.904,True,
park_bo_young_01,park_bo_young,박보영,female,dog,강아지상,1,사진데이터/박보영1.png,cccaf3a0dbb411675c856e4a2634720fdfc8fed3f7cb84ce2bb042e9cb9c9e66,512,574,processed/female/dog/park_bo_young/park_bo_young_01.jpg,0.93194,0.27895,0.2805,0.6279,-3.465,True,
park_bo_young_02,park_bo_young,박보영,female,dog,강아지상,2,사진데이터/박보영2.png,c6f6f71e97ff37697465288743b5787047d0ca07f3b8edb5714eabefc7e5a802,674,594,processed/female/dog/park_bo_young/park_bo_young_02.jpg,0.93171,0.21665,0.4333,0.7575,-17.456,True,
park_bo_young_03,park_bo_young,박보영,female,dog,강아지상,3,사진데이터/박보영3.png,676dd2aeda6e1a284bb1cebfe900b1673eae03e66d42bcfbf8f9167169900fe9,556,588,processed/female/dog/park_bo_young/park_bo_young_03.jpg,0.94332,0.16555,0.5811,0.7322,15.273,True,
an_yu_jin_01,an_yu_jin,안유진,female,dog,강아지상,1,사진데이터/안유진1.png,43a1ff9e562db027429254b431266111e60f38454d73a60a740edcb081ccfef2,570,672,processed/female/dog/an_yu_jin/an_yu_jin_01.jpg,0.93226,0.29318,0.4072,0.9098,-12.063,True,
an_yu_jin_02,an_yu_jin,안유진,female,dog,강아지상,2,사진데이터/안유진2.png,318809b31d4bded4f148740389b71779d1016dab1fdfa385a135b0cc1eeccf8d,452,498,processed/female/dog/an_yu_jin/an_yu_jin_02.jpg,0.94314,0.19293,0.4058,0.7672,-9.447,True,
an_yu_jin_03,an_yu_jin,안유진,female,dog,강아지상,3,사진데이터/안유진3.png,b10e098fbec850b2c622b2b64c2eeb9d738a69f97d7b20fd9b01c1d54543ee1b,436,514,processed/female/dog/an_yu_jin/an_yu_jin_03.jpg,0.94216,0.20954,0.5171,0.8748,-5.877,True,
minji_newjeans_01,minji_newjeans,민지,female,dog,강아지상,1,사진데이터/민지1.png,851407be20a378ea205199e6243f2b8a95de1992bd31151ce97232ac36c0c766,348,346,processed/female/dog/minji_newjeans/minji_newjeans_01.jpg,0.94617,0.10196,0.4205,0.2764,-4.791,True,
